iter	Passed	Remaining
0	12	12260
1	23	11525
2	32	10954
3	42	10467
4	51	10305
5	62	10357
6	74	10590
7	88	10958
8	98	10826
9	107	10690
10	117	10582
11	127	10487
12	137	10401
13	146	10331
14	156	10261
15	165	10205
16	175	10150
17	185	10103
18	195	10108
19	205	10078
20	216	10086
21	227	10131
22	238	10152
23	249	10155
24	260	10154
25	271	10154
26	281	10149
27	292	10146
28	303	10145
29	313	10142
30	324	10128
31	334	10122
32	344	10104
33	354	10075
34	364	10040
35	373	9991
36	382	9963
37	392	9934
38	402	9910
39	411	9887
40	421	9863
41	431	9838
42	441	9815
43	450	9794
44	460	9772
45	469	9739
46	479	9721
47	487	9664
48	497	9647
49	506	9627
50	516	9610
51	526	9592
52	536	9577
53	545	9559
54	555	9541
55	565	9525
56	574	9507
57	584	9491
58	594	9476
59	603	9461
60	613	9445
61	623	9431
62	633	9424
63	643	9409
64	653	9405
65	663	9391
66	672	9367
67	680	9325
68	690	9312
69	700	9303
70	710	9294
71	720	9290
72	733	9311
73	744	9310
74	754	9299
75	764	9292
76	776	9304
77	788	9315
78	798	9310
79	808	9294
80	817	9278
81	826	9257
82	837	9250
83	847	9240
84	857	9226
85	866	9210
86	876	9197
87	886	9182
88	895	9170
89	905	9156
90	914	9136
91	924	9122
92	933	9103
93	943	9090
94	952	9076
95	962	9062
96	972	9048
97	981	9036
98	991	9026
99	1001	9015
100	1011	9002
101	1020	8983
102	1030	8971
103	1039	8957
104	1049	8945
105	1059	8932
106	1068	8919
107	1078	8906
108	1088	8894
109	1097	8881
110	1107	8869
111	1117	8858
112	1126	8841
113	1136	8829
114	1145	8816
115	1155	8804
116	1164	8791
117	1173	8774
118	1183	8762
119	1193	8751
120	1202	8738
121	1212	8725
122	1222	8713
123	1231	8697
124	1240	8685
125	1250	8673
126	1260	8662
127	1269	8645
128	1278	8634
129	1288	8623
130	1298	8611
131	1307	8599
132	1317	8587
133	1326	8571
134	1335	8559
135	1343	8536
136	1353	8526
137	1363	8514
138	1372	8503
139	1382	8492
140	1392	8481
141	1401	8470
142	1411	8457
143	1420	8446
144	1430	8435
145	1440	8424
146	1448	8402
147	1457	8390
148	1467	8379
149	1476	8369
150	1486	8357
151	1495	8343
152	1504	8329
153	1514	8318
154	1523	8307
155	1533	8297
156	1543	8286
157	1552	8274
158	1562	8264
159	1572	8253
160	1581	8242
161	1591	8232
162	1601	8221
163	1610	8210
164	1620	8199
165	1629	8186
166	1639	8175
167	1648	8165
168	1657	8151
169	1667	8140
170	1677	8130
171	1686	8120
172	1696	8110
173	1706	8101
174	1716	8091
175	1726	8082
176	1736	8072
177	1745	8062
178	1755	8052
179	1765	8043
180	1775	8032
181	1785	8022
182	1794	8013
183	1804	8002
184	1814	7993
185	1824	7983
186	1833	7971
187	1843	7961
188	1852	7951
189	1862	7941
190	1872	7931
191	1882	7921
192	1891	7910
193	1901	7900
194	1910	7887
195	1920	7876
196	1929	7866
197	1937	7848
198	1947	7838
199	1956	7827
200	1966	7817
201	1976	7807
202	1985	7797
203	1995	7787
204	2005	7777
205	2015	7767
206	2024	7757
207	2035	7748
208	2046	7745
209	2058	7745
210	2070	7744
211	2083	7742
212	2095	7740
213	2106	7738
214	2118	7733
215	2126	7717
216	2134	7700
217	2143	7690
218	2153	7680
219	2163	7670
220	2173	7661
221	2183	7651
222	2193	7642
223	2203	7632
224	2213	7623
225	2222	7613
226	2232	7603
227	2242	7593
228	2252	7583
229	2262	7574
230	2272	7564
231	2282	7555
232	2292	7545
233	2301	7533
234	2311	7524
235	2321	7515
236	2331	7505
237	2341	7495
238	2351	7485
239	2360	7475
240	2370	7466
241	2380	7456
242	2390	7446
243	2400	7437
244	2410	7427
245	2419	7416
246	2429	7406
247	2439	7397
248	2449	7388
249	2459	7377
250	2468	7367
251	2478	7358
252	2488	7348
253	2498	7338
254	2508	7328
255	2518	7319
256	2528	7310
257	2538	7300
258	2548	7291
259	2558	7281
260	2568	7272
261	2578	7263
262	2588	7252
263	2598	7243
264	2608	7233
265	2618	7224
266	2628	7216
267	2638	7207
268	2648	7197
269	2658	7188
270	2667	7176
271	2678	7169
272	2688	7159
273	2698	7149
274	2709	7142
275	2718	7131
276	2729	7123
277	2740	7116
278	2750	7107
279	2761	7101
280	2773	7097
281	2782	7084
282	2794	7079
283	2805	7073
284	2817	7067
285	2830	7065
286	2840	7057
287	2850	7047
288	2861	7039
289	2871	7031
290	2881	7021
291	2892	7012
292	2901	7002
293	2911	6990
294	2921	6981
295	2932	6973
296	2945	6970
297	2957	6967
298	2970	6964
299	2982	6960
300	2995	6957
301	3008	6954
302	3021	6951
303	3034	6946
304	3044	6938
305	3055	6929
306	3065	6919
307	3076	6911
308	3086	6901
309	3096	6891
310	3106	6881
311	3115	6871
312	3125	6860
313	3135	6850
314	3145	6840
315	3155	6830
316	3166	6821
317	3178	6816
318	3190	6811
319	3202	6805
320	3214	6799
321	3226	6794
322	3239	6789
323	3251	6783
324	3263	6777
325	3275	6772
326	3287	6766
327	3299	6760
328	3312	6754
329	3323	6748
330	3333	6738
331	3344	6729
332	3355	6721
333	3366	6713
334	3377	6704
335	3388	6696
336	3399	6688
337	3410	6679
338	3419	6667
339	3430	6659
340	3442	6652
341	3453	6644
342	3464	6636
343	3475	6628
344	3486	6620
345	3498	6611
346	3509	6603
347	3520	6595
348	3531	6587
349	3541	6577
350	3552	6568
